QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>com.thoughtworks.selenium.SeleneseTestCase.public runBare( ): void,runBare( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,20,0,3,2
<Method>com.thoughtworks.selenium.SeleneseTestCase.protected setCaptureScreenShotOnFailure( boolean ): void,setCaptureScreenShotOnFailure( boolean ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Method>com.thoughtworks.selenium.SeleneseTestCase.protected setTestContext( ): void,setTestContext( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>com.thoughtworks.selenium.SeleneseTestCase.public setUp( ): void,setUp( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,1,4
"<Method>com.thoughtworks.selenium.SeleneseTestCase.public static assertNotEquals( boolean, boolean ): void","static assertNotEquals( boolean, boolean ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
<Method>com.thoughtworks.selenium.SeleneseTestCase.public tearDown( ): void,tearDown( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
"<Method>com.thoughtworks.selenium.SeleneseTestCase.public verifyEquals( boolean, boolean ): void","verifyEquals( boolean, boolean ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1
<Method>com.thoughtworks.selenium.SeleneseTestCase.public verifyFalse( boolean ): void,verifyFalse( boolean ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
"<Method>com.thoughtworks.selenium.SeleneseTestCase.public verifyNotEquals( boolean, boolean ): void","verifyNotEquals( boolean, boolean ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1
<Method>com.thoughtworks.selenium.SeleneseTestCase.public verifyTrue( boolean ): void,verifyTrue( boolean ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Field>com.thoughtworks.selenium.SeleneseTestCase->selenium,selenium : Selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.thoughtworks.selenium.SeleneseTestCase->stb,stb : SeleneseTestBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.thoughtworks.selenium.SeleneseTestNgHelper,SeleneseTestNgHelper,low,low,low-medium,low,1,9,4,1,0,6,63,19,0,1,4,0,0,0,0.375,0.833,0,0,,,,,63,,,,,,6,,,,,,,
<Method>com.thoughtworks.selenium.SeleneseTestNgHelper.public checkForVerificationErrors( ): void,checkForVerificationErrors( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,1,0
<Method>com.thoughtworks.selenium.SeleneseTestNgHelper.public getSelenium( boolean ): void,getSelenium( boolean ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,1,2,4
<Method>com.thoughtworks.selenium.SeleneseTestNgHelper.public selectDefaultWindow( ): void,selectDefaultWindow( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,0,0,2
<Method>com.thoughtworks.selenium.SeleneseTestNgHelper.public tearDown( ): void,tearDown( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,1,0
