"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","4674","Various linter fixes","This is a bit of a grab-bag of random changes, addressing linter concerns from Sonar and IntelliJ. Mostly in tests, but not all.  Remove usage of raw generic types in a few places.  Remove a couple of deprecated usages: - Remove usage of `@OverridesAttribute.List` - Update BadLogApp to avoid overriding deprecated methods  Some random cleanups: - Remove unnecessary cast and unused local variable - Remove unused imports  A few test simplifications: - Tighten assertion in DataSourceFactoryTest - Simplify lambdas in tests - Use try-with-resources in AllowedMethodsFilterTest - Use more specific AssertJ assertions - Simplify InjectValidatorFeatureTest","closed","","rhowe","2022-02-02T21:27:49Z","2022-02-03T08:29:08Z"
"","4915","Remove dropwizard-util `Optionals`","This Guava helper has been deprecated in 2.x and can be removed for 3.x.","closed","task,","rhowe","2022-03-07T21:11:10Z","2022-03-08T07:29:29Z"
"","4569","Make `NetUtil` package-private","This class is only used by `HttpConnectorFactory` so it can be package-private.  This is technically a breaking change, but maybe an acceptable one?","closed","","rhowe","2022-01-02T22:33:58Z","2022-01-06T18:30:44Z"
"","4833","Remove `public` modifiers from nested test classes and test methods","This change was inspired by Sonar complaining about `public` members in the `DropwizardExtensionsSupportTest`.","closed","","zUniQueX","2022-02-27T21:14:48Z","2022-02-28T20:14:00Z"
"","5197","rework auth filter injection behavior to only setup injection once at startup","This change reworks the DI setup for auth filters to inject only once during setup and not on every request.  When injection is performed, each injectable field is assigned a special proxy class that is automatically updated to the per-request values. The `InjectionManager.inject()` method does not need to be invoked for each request.  The following links provide helpful explanations of the behavior: - https://stackoverflow.com/a/35953104/901236 - https://psamsotha.github.io/jersey/2015/12/16/request-scope-into-singleton-scope.html  Resolves: #5191 Closes: #5196","closed","improvement,","pstackle","2022-04-20T06:27:05Z","2022-04-20T18:09:15Z"
"","5149","Replace `@NotThreadSafe` with jUnit 5 `Execution(SAME_THREAD)`","This allows us to drop a dependency on jcip-annnotations","closed","improvement,","rhowe","2022-04-12T09:18:46Z","2022-04-12T10:20:35Z"
"","4919","Make `LocalIpFilter` and `NetUtil` package-private","These were unintentionally public in previous versions and had a deprecation warning saying they would be made package-private.  Make them package-private.","closed","","rhowe","2022-03-08T23:29:21Z","2022-03-09T09:46:29Z"
"","4925","Remove deprecated `Size` and `SizeUnit` from dropwizard-util","These have been superseded by `DataSize` and `DataSizeUnit`.  Refs https://github.com/dropwizard/dropwizard/pull/2686","closed","","rhowe","2022-03-09T08:33:03Z","2022-03-09T14:07:48Z"
"","5509","OWASP dependency vulnerabilities","These dependency vulnerabilities exist in 2.1.1 and older.  ``` 11:26:38.170 [ERROR] One or more dependencies were identified with vulnerabilities that have a CVSS score greater than or equal to '0.0': 11:26:38.171 [ERROR] 11:26:38.171 [ERROR] jetty-http-9.4.44.v20210927.jar: CVE-2022-2047 11:26:38.171 [ERROR] jetty-io-9.4.44.v20210927.jar: CVE-2022-2191 ```  Relevant packages are `dropwizard-jersey` and `dropwizard-jetty`, respectively.","closed","","wobenshain","2022-07-11T15:34:14Z","2022-07-11T15:39:34Z"
"","4916","Remove deprecated parts of dropwizard-util","These are all deprecated in 2.1.x and unused by Dropwizard itself.  Replace `ByteStream#toByteArray()` with `InputStream#readAllBytes()`  I've left `Size` and `SizeUnit` because removing those is a bit less trivial and worth doing separately.","closed","task,","rhowe","2022-03-08T07:50:54Z","2022-03-08T23:17:50Z"
"","5116","Fix build for 3.0.x","The merge of 2.1.x contains imports to classes, for which the namespace was changed.","closed","","zUniQueX","2022-04-05T20:18:27Z","2022-04-06T07:10:27Z"
