"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","2039","Stored pictures have wrong file extension","When storing received images, these are saved in the usual ""Pictures"" folder but now have the file extension "".attach"". Pictures can be still be viewed on a computer after manually changing the extension but they do not appear in the Android gallery because they are not detected as image files. The change must be introduced in a recent update, the feature worked well for a long time (my last successfully saved picture is from 11 October 2014). As I only receive pictures I could not yet test whether audio and video files are affected as well.","closed","","shaaati","2014-10-25T23:52:51Z","2014-10-25T23:54:45Z"
"","2114","[UX] [security] Notification if plaintext message is received in encrypted conversation","When somebody receives an unencrypted SMS from a contact with whom s/he previously communicated securely, this can have several reasons: - The contact currently doesn't have internet connectivity/access to their phone for whatever reason - The contact stopped using TextSecure permanently for whatever reason - An attacker is trying to coerce an unencrypted response (requires user interaction), provoke metadata leakage, explain the error message of a following MITM attack, pretend the contact is still alive/free or similar.  In the first and second cases the recipient probably doesn't notice that the received message was unencrypted (which hints at the ""no connectivity"" of ""no TS"" scenarios) and will probably reply with an encrypted push message. This leads to the sender wondering why s/he doesn't get a response and the recipient thinking s/he already did respond. Which s/he did, but accidentally via the wrong channel.  In the third case the user should be warned about the general possibility of faked messages.  While explaining everything in extreme detail would be way too much, a short explanation should suffice.  What do you think about:   > You received a plaintext SMS in an encrypted conversation. This could mean that $contact currently doesn't have access to their smartphone, has stopped using TextSecure or is beeing impersonated.  > Do you want to answer via plaintext SMS? > [  ] Don't show again for this contact _ **[YES]** **[NO]** _","closed","ux,","generalmanager","2014-11-22T15:18:24Z","2018-04-02T21:30:37Z"
"","1319","Sharing link from external app","When sharing a link from an external application, the Compose window is opened. The + sign in top search bar is used to add contacts but after selecting a contact, it does not show up in the search bar. Typing the contact name works fine.   This is the case on 2.0.6 and the earlier version.","closed","","recap","2014-04-08T09:11:44Z","2014-04-08T10:57:52Z"
"","1476","Emoticon mangled when attaching image","When sending an image, if you write an accompanying message that ends in an emoticon, the emoticon is not received correctly in the other end. Either one or two interrogations are displayed instead.  Tested between a Moto G and a Nexus 4 both ways, running the latest TextSecure version from the Play Store.","closed","","rg3","2014-05-10T19:00:32Z","2014-05-10T19:15:46Z"
"","2216","Include group titles in search","When searching for messages only simple threads matching the contact names are returned as search results. With this commit also group converstations where the group title matches the search term are displayed in the result. This makes search results more consistent with the conversation list as now all conversation titles (i.e. contact names and group titles) are searched through.  Fixes #1954","closed","","ogasser","2014-12-14T14:10:30Z","2014-12-23T20:40:45Z"
"","2193","Make re-registration of same phone number more userfriendly","When reinstalling TextSecure or switching the SIM card to another phone, PUSH service registration often fails because the number is already registered. This forces the user to go to https://whispersystems.org/textsecure/unregister/ and unregister manually.  Average users don't know that they have to unregister first. They even don't know the above mentioned page. And that GCM eventually notifies the server about unregistration seems unreliable due to the fact that many users really have trouble with this issue and are unable to proceed using TextSecure. (just wondering if similar steps are necessary when web sockets come in...)  I propose to let the registration process check if the number is already registered and automatically perform the necessary steps to unregister and re-register the number. When I understand the unregister web page correctly, this is authenticated by receiving an SMS (or call). I think this is possible when using the same SIM card / phone number.  This would greatly enhance the usability.","closed","","exploide","2014-12-06T19:23:22Z","2014-12-07T10:10:39Z"
"","1428","Sender displayed as Anonymous when Sender's Number is Alphanumeric Instead of a Normal Digit Phone Number","When receiving SMS where the sender's number is alphanumeric instead of a normal digit phone number, TextSecure displays the sender as Anonymous instead of displaying the alphanumeric.","closed","","tracerTres","2014-04-25T13:55:32Z","2014-04-25T15:38:13Z"
"","1710","SMS appearing in Plain Text in Notification Bar","When receiving SMS the message scrolls in plain text across the notification bar instead of showing encrypted message. Also when I pull down the notification bar to view notifications, an unread message appears in plain text. Note the app is already locked when this happens  There are times the message does appear as encrypted but that is rare.","closed","","tracerTres","2014-07-18T11:47:41Z","2014-07-18T14:54:04Z"
"","1756","No option to save MMS attachments. GT-i9505 (CM11.0 - Android 4.4.2)","When receiving MMS messages, there used to be a download button under attached files that when selected would give a warning about moving the flies to an unencrypted location.  Having not received an MMS in a while, and after reinstalling TS on my phone following a key corruption issue, I have received two MMS messages that I would like to save outside of TS, however the download option is missing.","closed","","taffy-nay","2014-07-28T12:12:28Z","2014-07-28T13:36:40Z"
"","1378","Photo of contact shown in the notification could be bigger","When receiving a new message, the size of the contact's photo displayed in the notification seems to be too small. There are large borders around it, see picture. (Phone is a Nexus 5)   ![screenshot_2014-04-16-12-11-03](https://cloud.githubusercontent.com/assets/4053928/2728163/5c8a6d98-c5ea-11e3-84e9-84823e2fa6c7.png)","closed","","guerarda","2014-04-17T04:40:58Z","2014-04-17T07:29:59Z"
"","1406","Fix receiving utf-8 characters in media push messages","When receiving a media message via push, that contains unicode characters (e.g. emoji) in the body, the unicode characters are shown as ??. This is because the received body is converted to a ISO_8859_1 byte array. I changed it to convert it to a utf-8 byte array and set the encoding appropriately. Then the unicode characters are received correctly.  Message with wrong encoding: ![screenshot_2014-04-21-11-49-26](https://cloud.githubusercontent.com/assets/2340865/2753724/7919787c-c93d-11e3-98c6-9eaec561bed1.png)  Message with my patch applied: ![screenshot_2014-04-21-11-50-11](https://cloud.githubusercontent.com/assets/2340865/2753723/74c62a04-c93d-11e3-86cd-e59a1108d467.png)","closed","","AsamK","2014-04-21T10:15:05Z","2014-07-17T09:20:44Z"
"","2071","Use ""sms_body"" extra from ""smsto:"" Intent","When processing a SENDTO intent, the stock SMS app also populates the text of the draft from the `sms_body` extra (if present), while TextSecure does not.  The fix is trivial and should pose no risks, and it brings TextSecure's behaviour more in line with the stock app.  `Intent.getStringExtra` is documented to return `null` in case there's no extra of the requested name, so no error checking is necessary.","closed","","cmock","2014-11-05T19:18:46Z","2014-11-30T03:32:08Z"
"","1983","Fix activity leak causing degraded usability and memory consumption.","When opening messages from notifications, multiple activities are opened causing some issues with drafts, flooding history (back button) and general slow downs. This change fixes conversationActivity to be only with one instance.","closed","","talhacohen","2014-10-08T17:52:32Z","2014-11-30T21:10:17Z"
"","2057","Image Rotation","When my friends send me a vertical taken picture Textsecure seems to rotate and save it horizonal.   Its very anoying.  Could there be an option tu rotate pictures inside textsecure and watch them in fullscreen in the encryptet format? So with out the needing to save them outside textsecure.  In the the little what i know of programming I¨d imagine its an easy fix to make rotating option?","closed","","aksratamo","2014-10-31T23:55:42Z","2014-11-01T00:28:16Z"
"","1669","Group chat bubbles","When in a group chat someone sends two consecutive messages, the application displays two different bubbles with the text of each message, and displays the name of the contact twice. This takes away a lot of space, especially if you don't have a huge screen. It would be nice if the messages were merged into the same bubble, so to save some space. Thank you!","closed","","ghost","2014-07-01T12:21:50Z","2014-07-01T18:42:11Z"
"","1758","endless trying to register in server","When i try to register on the server the first three steps work like a charm, but the registering on server is endless. Anyone got this Problem before?  Kind regards, fabian","closed","","fabsmusicjunkie","2014-07-28T15:58:59Z","2014-08-06T09:25:04Z"
