QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Field>com.puppycrawl.tools.checkstyle.Checker->moduleFactory,moduleFactory : ModuleFactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.Checker->severityLevel,severityLevel : SeverityLevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.Checker->LOG,static final LOG : Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.puppycrawl.tools.checkstyle.ConfigurationLoader,ConfigurationLoader,low-medium,low-medium,low-medium,low,9,37,27,1,0,23,198,103,5,11,2,7,0,1.016,0.571,1,0,0,,,,,198,,,,,,23,,,,,,,
com.puppycrawl.tools.checkstyle.ConfigurationLoader.InternalLoader,InternalLoader,low,low,low,low,7,40,15,3,0,14,69,58,0,9,3,0,2,0.889,0.333,0,0,2,,,,,69,,,,,,14,,,,,,,
"<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.private ConfigurationLoader( PropertyResolver, boolean ): void","ConfigurationLoader( PropertyResolver, boolean ): void",low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,2,0,3
<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.private parseInputSource( InputSource ): void,parseInputSource( InputSource ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.private static createIdToResourceNameMap( ): Map,static createIdToResourceNameMap( ): Map,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,0,5,8
"<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.public static loadConfiguration( InputSource, PropertyResolver, boolean ): Configuration","static loadConfiguration( InputSource, PropertyResolver, boolean ): Configuration",low,low-medium,low,low,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,16,3,5,3
"<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.public static loadConfiguration( InputStream, PropertyResolver, boolean ): Configuration","static loadConfiguration( InputStream, PropertyResolver, boolean ): Configuration",low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,3,1,0
"<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.public static loadConfiguration( String, PropertyResolver ): Configuration","static loadConfiguration( String, PropertyResolver ): Configuration",low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,1,0
"<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.public static loadConfiguration( String, PropertyResolver, boolean ): Configuration","static loadConfiguration( String, PropertyResolver, boolean ): Configuration",low,low-medium,low,low,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,3,3,0
"<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.private static parsePropertyString( String, List, List ): void","static parsePropertyString( String, List, List ): void",low,low,low-medium,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,31,3,20,5
"<Method>com.puppycrawl.tools.checkstyle.ConfigurationLoader.static replaceProperties( String, PropertyResolver, String ): String","static replaceProperties( String, PropertyResolver, String ): String",low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,24,3,11,0
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->configuration,configuration : Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->configStack,final configStack : Deque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->omitIgnoredModules,final omitIgnoredModules : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.ConfigurationLoader->overridePropsResolver,final overridePropsResolver : PropertyResolver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
